rank,venue_name,city,state,venue_id,event_count,good_tournament_url_count,upcoming_count,venue_url,sample_tournament_1,sample_tournament_url_1,sample_tournament_2,sample_tournament_url_2,sample_tournament_3,sample_tournament_url_3
1,1529 Third St. S.,Jacksonville Beach,FL,bc1478d9-b28b-4530-a566-401610faf38a,81,81,45,https://home.gotsoccer.com/events.aspx?type=Tournament&state=CA&Page=1,BAZOOKA SOCCER JUNIOR SHOWCASE,https://bazookasoccer.com,Tonka Splash,https://tonkasplash.com/,BAZOOKA SOCCER PRESIDENTS DAY TOURNAMENT,https://bazookasoccer.com/juniorshowcasehotels/bazookasoccerpresidentsdaytournament/
2,SoCal Sports Complex,Oceanside,CA,2a798dbf-ba6d-48e5-8d7c-1d0d9e506992,22,22,18,http://socalsportscomplex.com/,Surf Cup 1,https://socalsportscomplex.com/,Rebels Cup,https://socalsportscomplex.com/,Club America,https://socalsportscomplex.com/
3,OGP Oakland,Oakland,CA,76bcf138-3503-4f20-9516-d156aa721c9b,9,9,7,https://opengympremier.com/,Battle at the Bay 2026,https://grassroots365.com/product/battle-at-the-bay-i/,Memorial Day Challenge 2026,https://grassroots365.com/product/memorial-day-challenge/,New Year's Bash 2026,https://grassroots365.com/product/new-years-eve-bash/
4,2425 E Deer Valley Dr,Phoenix,AZ,d6a561aa-ab07-45c8-9014-af3248f5c0ff,8,8,3,https://www.rsl-az.com/ostrichfields,RSLAZ,https://rsl-az.com/ostrichfestival,Holiday ClassicRSLAZ South,https://rsl-az.com/holidayclassic,AZ Soccer Clash,https://phoenixpremierfc.com/azsoccerclash
5,Forum,Mesa,AZ,dcf544d7-be15-42b3-a365-611ee98456fc,8,8,0,https://soccer.travelsports.com/facilities/legacy-sports-park-field,AZ Soccer ClashPhoenix Premier FC,https://phoenixpremierfc.com/azsoccerclash,East Valley Patriots Cup,https://evnsfc.com/patriots-cup,Arsenal Challenge,https://azarsenalsc.org/events/arsenal-challenge
6,Alimagnet,Burnsville,MN,858bcf70-9d21-4639-8ac2-e5ff93c334a6,6,6,6,"https://www.google.com/maps/search/?api=1&query=1200 Alimagnet Pkwy, Burnsville, MN, 55337",Prospects Premier World Series,https://mnbaseball.usssa.com/event/prospects-premier-world-series/,Prospects MN State Showdown,https://mnbaseball.usssa.com/event/prospects-mn-state-showdown/,Prospects Mid-Summer Slam,https://mnbaseball.usssa.com/event/prospects-mid-summer-slam/
7,Arroyo Grande Sports Complex,Henderson,NV,3149b4bb-1ff9-49c2-8768-00762ec4f81c,6,6,6,"https://www.google.com/maps/search/?api=1&query=298 Arroyo Grande Blvd, Henderson, NV, 89014",26th Annual October Slugfest,https://nvbaseball.usssa.com/event/26th-annual-october-slugfest/,27th Annual Cranberry Classic,https://nvbaseball.usssa.com/event/27th-annual-cranberry-classic/,13th Annual Winter Blast,https://nvbaseball.usssa.com/event/13th-annual-winter-blast/
8,Dos Escuelas (Dos),Henderson,NV,e2f477b3-b0bd-444d-973a-1f79ef2f6673,6,6,6,"https://www.google.com/maps/search/?api=1&query=2040 Desert Shadow Trail, Henderson, NV, 89012",27th Annual Cranberry Classic,https://nvbaseball.usssa.com/event/27th-annual-cranberry-classic/,Hearts & Diamonds,https://nvbaseball.usssa.com/event/hearts-diamonds/,26th Annual October Slugfest,https://nvbaseball.usssa.com/event/26th-annual-october-slugfest/
9,Heritage Park,Henderson,NV,bd713baa-249c-4624-9808-0dbd54b8bb1c,6,6,6,"https://www.google.com/maps/search/?api=1&query=300 South Racetrack Rd, Henderson, NV, 89015",27th Annual Cranberry Classic,https://nvbaseball.usssa.com/event/27th-annual-cranberry-classic/,27th Annual Veterans Day Challenge,https://nvbaseball.usssa.com/event/27th-annual-veterans-day-challenge/,Swing 4 Autism,https://nvbaseball.usssa.com/event/swing-4-autism-2/
10,Hurricane Bridge Park,Hurricane,WV,99fc6c03-89bb-418b-94be-183efb6f201d,6,6,6,"https://www.google.com/maps/search/?api=1&query=1 Bridge Park Way, Hurricane, WV, 25526",West Virginia Bling Out NIT (Bling Chains),https://wvbaseball.usssa.com/event/west-virginia-bling-out-nit-bling-chains/,State Championship (MLB Player Rings),https://wvbaseball.usssa.com/event/state-championship-mlb-player-rings/,Bombs 4 Moms (Special Mothers Day Rings),https://wvbaseball.usssa.com/event/bombs-4-moms-special-mothers-day-rings/
