tournament_name,sport,start_date,end_date,city,state,source_url,event_id,exposure_domain,confidence,venues_count
Eastern Washington Baseball Tournaments,baseball,,,,WA,https://toptiersports.net/eastern-washington-baseball-tournaments/#,,,40,0
Western Washington Baseball Tournaments,baseball,,,,WA,https://toptiersports.net/western-washington-baseball-tournaments/,,,40,0
Top Tier Fall Classic,baseball,2025-10-17,2025-10-19,Greater Puget Sound,WA,https://toptiersports.net/fall-classic/,246115,baseball,99,7
Top Tier Indoor Classic,baseball,2026-01-09,2026-01-11,Centralia,WA,https://toptiersports.net/indoor-classic/,249988,baseball,99,1
Top Tier Turf Wars,baseball,2026-01-23,2026-01-25,Centralia,WA,https://toptiersports.net/indoor-turf-wars/,249987,baseball,99,1
Top Tier Twin Cities Classic,baseball,2026-02-06,2026-02-08,Centralia,WA,https://toptiersports.net/twin-cities-classic/,249989,baseball,99,1
Top Tier Hub City Bash,baseball,2026-02-20,2026-02-22,Centralia,WA,https://toptiersports.net/hub-city-bash/,249990,baseball,99,1
King of the Northwest - Youth World Series,baseball,2026-07-24,2026-07-26,Puget Sound,WA,https://toptiersports.net/king-of-the-nw-youth-world-series/,250340,baseball,99,0
King of the Northwest High School World Series,baseball,2026-04-12,2026-04-13,Puget Sound,WA,https://toptiersports.net/king-of-the-northwest-highschool-world-series/,250341,baseball,99,0
Top Tier St. Paddy's Day Bash,baseball,2026-03-14,2026-03-15,Puyallup,WA,https://toptiersports.net/saint-paddys-bash-washington-baseball-tournament/,250432,baseball,99,19
KPSL Foundation Tournament,baseball,2026-03-28,2026-03-29,Puyallup,WA,https://toptiersports.net/kpslfoundationclassic/,250436,baseball,99,13
Top Tier Aaron Pointer Classic,baseball,2026-04-18,2026-04-19,Puyallup,WA,https://toptiersports.net/aaronpointerclassic/,250502,baseball,99,7
Top Tier Cinco de Mayo Slugfest,baseball,2026-05-02,2026-05-03,Puyallup,WA,https://toptiersports.net/cinco-de-mayo-slugfest/,250505,baseball,99,8
Top Tier Art Wright Memorial Tournament,baseball,2026-05-21,2026-05-25,Puyallup,WA,https://toptiersports.net/memorial-day-baseball-tournament/,250529,baseball,99,17
